aaz-311-2019-01;5;2019-08-23;1;1;85;"Paso del rey";bernardo_de_irigoyen;426;;;1742;mnieves
aaz-311-2019-02;5;2019-06-06;1;1;85;"Paso del rey";bernardo_de_irigoyen;426;;;1742;mnieves
aaz-311-2020-00;5;2020-04-24;0;1;85;"Paso del rey";bernardo_de_irigoyen;426;;;1742;mnieves
aaz-311-2022-00;5;2022-05-13;0;1;85;"Paso del rey";bernardo_de_irigoyen;426;;;1742;mnieves
aaz-311-2022-01;5;2022-10-05;0;1;85;"Paso del rey";bernardo_de_irigoyen;426;;;1742;mnieves
AAZ-311-2023-00;5;2023-05-19;0;1;82;"Paso del rey";"B yrigoyen";426;;;1722;mnieves
AAZ-311-2023-01;5;2023-07-17;0;1;82;"Paso del rey";"Bernanrdo de yrigoyen";426;;;1722;mnieves
AAZ-432-2023-00;5;2023-07-02;0;1;128;Caseros;"David magdalena";4243;;;1678;mnieves
abb-083-2022-00;1;2022-04-27;0;1;17;brandsen;isabel;0;irigoyen;;1813;mstefano
abb-217-2018-00;1;2018-06-22;0;1;36;"villa catela";127;;135;"135 bis";1925;mstefano
abb-374-2022-00;1;2022-07-16;0;1;66;tolosa;525;3041;;;1900;mstefano
abc-067-2022-01;4;2022-07-07;0;1;6;avellaneda;campana;1250;;;1870;gsanluis
abc-166-2021-00;1;2021-12-01;0;1;66;"villa elvira";90;128;;;1900;mstefano
abc-356-2022-00;1;2022-03-02;0;1;66;"los hornos";68;3060;;;1900;mstefano
ABC-356-2022-01;1;2022-08-07;0;1;66;"LOS HORNOS";68;3060;;;1900;mstefano
abd-433-2023-00;4;2023-06-21;0;1;135;constitucion;constitucion;1552;;;1151;fossorio
abf-161-2019-00;1;2019-07-30;0;1;66;abasto;32;;196;;1903;mstefano
abg-080-2021-00;5;2021-10-16;0;1;62;ituzaingo;fitz_roy;4178;;;1714;cgroppo
abg-291-2019-00;4;2019-11-23;0;1;67;lanus;olazabal;4675;;;1824;gsanluis
abg-399-2021-01;4;2021-04-27;0;1;65;"la matanza";tomas_justo_villegas;484;;;1770;asbruzzi
abg-399-2021-02;4;2021-06-04;0;1;65;"la matanza";tomas_justo_villegas;484;;;1770;asbruzzi
abg-399-2021-03;4;2021-07-07;1;1;65;"la matanza";tomas_justo_villegas;484;;;1770;asbruzzi
ABM-005-2023-00;5;2023-06-17;1;1;86;"El palomar";"diagonal lentati";8;;;1685;mnieves
abm-151-2019-00;1;2019-07-05;0;1;66;"los hornos";58;2855;;;1900;mstefano
